at,ptsMs,payloadSizeBytes,frameType
10933,11958,277,B
10970,11916,257,B
11013,12000,210,B
11078,12208,2781,P
11098,12125,494,B
11143,12083,432,B
11182,12166,222,B
11251,12375,3949,P
11266,12291,776,B
11306,12250,570,B
11350,12333,302,B
11422,12458,4077,P
11433,12416,443,B
11656,12500,21992,I
11670,12666,1624,P
11678,12583,665,B
11685,12541,439,B
11692,12625,401,B
11741,12833,5529,P
11750,12750,686,B
11769,12708,512,B
11807,12791,377,B
11888,13000,5018,P
11901,12916,1228,B
11936,12875,697,B
11976,12958,501,B
12042,13083,3484,P
12061,13041,684,B
12290,13125,23106,I
12316,13291,2911,P
12325,13208,757,B
12332,13166,516,B
12339,13250,367,B
12382,13458,5001,P
12395,13375,1084,B
12403,13333,655,B
12434,13416,475,B
12508,13625,4327,P
12523,13541,1300,B
12556,13500,727,B
12602,13583,593,B
12664,13708,3185,P
12685,13666,662,B
12908,13750,22355,I
12935,13916,2895,P
12942,13833,699,B
12950,13791,530,B
12955,13875,352,B
13002,14083,5345,P
13013,14000,897,B
13020,13958,591,B
13059,14041,451,B
13132,14250,4141,P
13148,14166,1135,B
13182,14125,595,B
13227,14208,583,B
13282,14333,2426,P
13310,14291,650,B
13540,14375,23623,I
13558,14541,2038,P
13568,14458,904,B
13576,14416,521,B
13583,14500,511,B
13618,14708,3973,P
13629,14625,958,B
13639,14583,597,B
13683,14666,504,B
13762,14875,4760,P
13773,14791,1235,B
13809,14750,648,B
13845,14833,528,B
13914,14958,3098,P
13934,14916,607,B
14162,15000,22681,I
14190,15166,3185,P
14199,15083,812,B
14206,15041,498,B
14212,15125,423,B
14252,15333,4539,P
14263,15250,1027,B
14270,15208,612,B
14309,15291,444,B
14375,15500,3669,P
14398,15416,1329,B
14435,15375,647,B
14476,15458,583,B
14537,15583,3209,P
14556,15541,686,B
14795,15625,23661,I
14828,15791,3800,P
14833,15708,178,B
14836,15666,157,B
14840,15750,159,B
14858,15916,1715,P
14862,15833,242,B
14890,15875,152,B
14947,15958,2337,P
14998,16000,3092,P
15053,16166,4826,P
15061,16083,651,B
15101,16041,483,B
15142,16125,433,B
15199,16208,2339,P
15367,16250,17708,I
15397,16416,3296,P
15405,16333,748,B
15411,16291,398,B
15418,16375,547,B
15443,16458,1987,P
15478,16500,1410,P
15523,16541,1219,P
15573,16625,2136,P
15599,16583,399,B
15649,16708,1244,P
15683,16666,330,B
15727,16833,760,P
15765,16750,375,B
15805,16791,395,B
16044,16875,23697,I
16061,17000,1875,P
16068,16916,611,B
16076,16958,465,B
16101,17166,2637,P
16110,17083,791,B
16118,17041,505,B
16141,17125,412,B
