at,ptsMs,latencyMs,frameType
10933,11791,171,P
10976,11833,172,P
11014,11875,168,I
11056,11916,169,B
11098,11958,169,B
11143,12000,172,B
11183,12041,170,P
11225,12083,171,B
11267,12125,170,B
11307,12166,169,B
11350,12208,171,P
11392,12250,171,B
11432,12291,170,B
11481,12333,176,B
11520,12375,174,P
11680,12416,292,B
11723,12458,294,P
11770,12500,298,I
11808,12541,295,B
11848,12583,294,B
11889,12625,292,B
11936,12666,299,P
11976,12708,297,B
12017,12750,296,B
12056,12791,293,B
12104,12833,300,P
12144,12875,298,B
12185,12916,298,B
12224,12958,294,B
12264,13000,292,P
12326,13041,314,B
12369,13083,315,P
12416,13125,320,I
12457,13166,320,B
12497,13208,317,B
12536,13250,315,B
12577,13291,314,P
12625,13333,320,B
12665,13375,318,B
12705,13416,318,B
12745,13458,316,P
12789,13500,318,B
12829,13541,316,B
12868,13583,314,B
12911,13625,315,P
12951,13666,314,B
12996,13708,316,P
13041,13750,319,I
13081,13791,319,B
13120,13833,316,B
13161,13875,314,B
13208,13916,321,P
13249,13958,320,B
13289,14000,318,B
13329,14041,317,B
13369,14083,314,P
13411,14125,314,B
13451,14166,314,B
13496,14208,317,B
13537,14250,316,P
13570,14291,307,B
13614,14333,309,P
13656,14375,310,I
13697,14416,309,B
13741,14458,312,B
13785,14500,313,B
13825,14541,313,P
13865,14583,311,B
13904,14625,308,B
13953,14666,316,B
13991,14708,312,P
14030,14750,309,B
14070,14791,308,B
14112,14833,308,B
14157,14875,311,P
14201,14916,313,B
14243,14958,313,P
14289,15000,318,I
14329,15041,317,B
14368,15083,314,B
14417,15125,320,B
14457,15166,320,P
14497,15208,318,B
14537,15250,315,B
14577,15291,315,B
14624,15333,320,P
14665,15375,318,B
14704,15416,317,B
14744,15458,315,B
14783,15500,312,P
14834,15541,322,B
14881,15583,326,P
14920,15625,324,I
14961,15666,324,B
15009,15708,329,B
15049,15750,327,B
15089,15791,326,P
15129,15833,325,B
15169,15875,323,B
15217,15916,329,P
15256,15958,327,P
15297,16000,326,P
15336,16041,324,B
15379,16083,325,B
15418,16125,322,B
15465,16166,328,P
15505,16208,326,P
15545,16250,324,I
15585,16291,323,B
15632,16333,328,B
15672,16375,326,B
15713,16416,325,P
15753,16458,324,P
15801,16500,330,P
15841,16541,328,P
15875,16583,321,B
15920,16625,324,P
15960,16666,323,B
16003,16708,324,P
16044,16750,323,B
16069,16791,307,B
16112,16833,307,P
16161,16875,315,I
16199,16916,312,B
16241,16958,312,B
16280,17000,309,P
16321,17041,308,B
16366,17083,312,B
16408,17125,311,B
16449,17166,312,P
16489,17208,309,B
16529,17250,308,B
16570,17291,308,B
16617,17333,313,P
16657,17375,310,P
16719,17416,332,B
16769,17458,339,P
16806,17500,335,I
16849,17541,336,B
16889,17583,335,P
16937,17625,341,P
16976,17666,339,P
17016,17708,337,P
17057,17750,336,P
17096,17791,334,P
17135,17833,331,P
17184,17875,338,P
17223,17916,335,P
17263,17958,334,P
17303,18000,332,B
17344,18041,331,B
17388,18083,333,P
17433,18125,337,I
17471,18166,334,P
17512,18208,333,P
17560,18250,339,B
17601,18291,339,B
17641,18333,337,B
17680,18375,334,P
17721,18416,334,P
17769,18458,340,P
17809,18500,337,B
17848,18541,336,P
17888,18583,334,B
17930,18625,334,P
17972,18666,335,P
18013,18708,333,P
18056,18750,334,I
18097,18791,334,B
18145,18833,340,B
18184,18875,338,B
18224,18916,337,P
18265,18958,336,B
18304,19000,333,B
18352,19041,339,B
18391,19083,337,P
18429,19125,333,B
18469,19166,332,B
18512,19208,333,B
18557,19250,336,P
18598,19291,336,B
18641,19333,336,P
18681,19375,334,I
18720,19416,333,B
18769,19458,339,B
18809,19500,338,B
18848,19541,336,P
18888,19583,334,B
18937,19625,340,P
18970,19666,333,P
19010,19708,331,P
19057,19750,336,P
19096,19791,334,P
19138,19833,334,B
19184,19875,338,B
19225,19916,337,P
19265,19958,335,P
19304,20000,333,I
19352,20041,339,P
19393,20083,338,B
19433,20125,336,P
19472,20166,335,B
19511,20208,332,P
19561,20250,340,B
19600,20291,338,P
19637,20333,332,B
19681,20375,334,P
19720,20416,333,P
19763,20458,334,P
19806,20500,334,P
19845,20541,333,B
19888,20583,334,P
19928,20625,332,I
19977,20666,340,B
20017,20708,337,B
20056,20750,335,B
20097,20791,335,P
20136,20833,332,P
20183,20875,336,P
20225,20916,338,B
20261,20958,331,P
20304,21000,333,B
20349,21041,336,B
20389,21083,335,P
20432,21125,336,P
20472,21166,334,P
20512,21208,333,P
20557,21250,335,I
20601,21291,338,P
20641,21333,336,P
20680,21375,334,B
20721,21416,334,P
20769,21458,340,B
20808,21500,337,B
20849,21541,337,B
20886,21583,332,P
20935,21625,339,B
20974,21666,337,B
21014,21708,335,B
21053,21750,332,P
21096,21791,333,B
21141,21833,337,P
21185,21875,339,I
21225,21916,337,B
21265,21958,335,P
21304,22000,333,P
21352,22041,340,B
21392,22083,338,B
21432,22125,336,B
21473,22166,336,P
21512,22208,333,B
21556,22250,335,P
21595,22291,333,P
21641,22333,336,B
21681,22375,334,B
21720,22416,333,B
21762,22458,333,P
21809,22500,338,I
21849,22541,337,P
21889,22583,334,P
21929,22625,333,P
21975,22666,338,P
22017,22708,337,P
22056,22750,335,B
22095,22791,332,B
22137,22833,332,P
22185,22875,339,B
22219,22916,332,B
22264,22958,335,B
22305,23000,334,P
22353,23041,340,B
22390,23083,336,P
22433,23125,336,I
22473,23166,336,B
22513,23208,334,B
22561,23250,340,B
22601,23291,339,P
22641,23333,337,B
22680,23375,333,B
22721,23416,333,B
22761,23458,332,P
22808,23500,337,B
22848,23541,336,B
22889,23583,335,B
22934,23625,337,P
22973,23666,336,B
23016,23708,337,P
23057,23750,336,I
23097,23791,335,B
23137,23833,332,B
23184,23875,338,B
23225,23916,338,P
23265,23958,335,B
23304,24000,333,B
23353,24041,341,B
23386,24083,332,P
23433,24125,337,B
23471,24166,334,B
23512,24208,333,B
23553,24250,332,P
23601,24291,338,B
23636,24333,331,P
23679,24375,333,I
23720,24416,333,B
23768,24458,339,B
23808,24500,337,B
23849,24541,337,P
23889,24583,334,B
23928,24625,332,B
23977,24666,340,B
24017,24708,337,P
24056,24750,335,B
24095,24791,333,B
24136,24833,332,B
24181,24875,335,P
24225,24916,338,B
24264,24958,335,P
24304,25000,333,I
24353,25041,341,B
24393,25083,339,B
24431,25125,335,B
24473,25166,336,P
24513,25208,333,B
24557,25250,336,B
24600,25291,338,B
24641,25333,336,P
24681,25375,334,B
24720,25416,333,B
24769,25458,339,B
24806,25500,335,P
24848,25541,336,B
24889,25583,335,P
24928,25625,332,I
24977,25666,340,B
25016,25708,337,B
25057,25750,336,B
25096,25791,334,P
25145,25833,340,B
25185,25875,339,B
25224,25916,337,B
25264,25958,335,P
25304,26000,332,B
25349,26041,337,B
25389,26083,334,B
25431,26125,335,P
25472,26166,335,B
25513,26208,334,P
25557,26250,336,I
25600,26291,338,B
25640,26333,336,B
25681,26375,335,B
25720,26416,333,P
25768,26458,339,B
25808,26500,337,B
25848,26541,336,B
25886,26583,332,P
25928,26625,332,B
25977,26666,339,B
26014,26708,335,B
26056,26750,335,P
26112,26791,350,B
26156,26833,352,P
26198,26875,352,I
26241,26916,354,B
26280,26958,351,B
26328,27000,357,B
26369,27041,357,P
26409,27083,354,B
26449,27125,353,B
26488,27166,351,B
26533,27208,354,P
26570,27250,349,B
26616,27291,354,B
26657,27333,352,B
26696,27375,350,P
26756,27416,369,B
26801,27458,371,P
26841,27500,369,I
26888,27541,375,B
26929,27583,375,B
26969,27625,372,B
27009,27666,372,P
27049,27708,370,B
27096,27750,374,B
27132,27791,369,B
27177,27833,373,P
27217,27875,371,B
27265,27916,378,B
27304,27958,374,B
27345,28000,373,P
27384,28041,372,B
27424,28083,370,P
27469,28125,373,I
27509,28166,372,B
27552,28208,373,B
27592,28250,371,B
27632,28291,370,P
27674,28333,370,B
27720,28375,374,B
27761,28416,374,B
27801,28458,372,P
27840,28500,368,B
27889,28541,377,B
27926,28583,372,B
27966,28625,370,P
28009,28666,372,B
28048,28708,369,P
28091,28750,370,I
28130,28791,368,B
28177,28833,373,B
28217,28875,371,B
28256,28916,369,P
28302,28958,373,B
28344,29000,372,B
28383,29041,371,B
28424,29083,370,P
28469,29125,373,B
28506,29166,369,B
28552,29208,373,B
28590,29250,369,P
28632,29291,369,B
28678,29333,374,P
28720,29375,373,I
28760,29416,373,B
28801,29458,372,B
28841,29500,370,B
28888,29541,376,P
28924,29583,370,B
28969,29625,373,B
29007,29666,370,B
29048,29708,369,P
29094,29750,372,B
29137,29791,375,B
29177,29833,373,B
29216,29875,370,P
29264,29916,376,B
29300,29958,370,P
29345,30000,374,I
29383,30041,371,B
29424,30083,370,B
29473,30125,377,B
29512,30166,375,P
29549,30208,370,B
29593,30250,372,B
29632,30291,370,B
29680,30333,376,P
29719,30375,372,B
29756,30416,369,B
29800,30458,371,B
29840,30500,368,P
29871,30541,359,B
29916,30583,362,P
29954,30625,358,I
30001,30666,364,B
30041,30708,361,B
30081,30750,360,B
30128,30791,366,P
30169,30833,365,B
30209,30875,363,B
30246,30916,359,B
30295,30958,366,P
30332,31000,361,B
30376,31041,364,B
30417,31083,362,B
30455,31125,359,P
30508,31166,370,B
30553,31208,374,P
30593,31250,372,I
30634,31291,371,B
30677,31333,373,B
30720,31375,374,B
30761,31416,373,P
30800,31458,371,B
30849,31500,377,B
30883,31541,371,B
30928,31583,374,P
30969,31625,373,B
31008,31666,370,B
31055,31708,376,B
31093,31750,372,P
31139,31791,377,B
31184,31833,380,P
31223,31875,376,I
31273,31916,386,B
31311,31958,382,B
31352,32000,381,P
31389,32041,377,B
31432,32083,378,B
31479,32125,383,B
31516,32166,379,P
31560,32208,381,B
31600,32250,378,B
31639,32291,377,P
31684,32333,380,B
31729,32375,383,P
31768,32416,381,B
31808,32458,379,P
31849,32500,378,I
31891,32541,379,B
31936,32583,382,P
31977,32625,380,B
32017,32666,380,B
32056,32708,377,P
32104,32750,383,B
32145,32791,383,P
32182,32833,378,B
32224,32875,378,P
32268,32916,381,B
32312,32958,383,B
32352,33000,381,B
32393,33041,381,P
32432,33083,378,P
32478,33125,381,I
32520,33166,383,B
32561,33208,382,B
32600,33250,379,B
32641,33291,379,P
32687,33333,383,B
32728,33375,382,B
32769,33416,382,B
32807,33458,377,P
32849,33500,377,B
32893,33541,380,B
32930,33583,376,B
32973,33625,377,P
33014,33666,377,B
33064,33708,385,P
33099,33750,378,I
33139,33791,377,B
33185,33833,381,B
33225,33875,378,B
33270,33916,383,P
33313,33958,384,B
33353,34000,382,B
33393,34041,380,B
33432,34083,378,P
33481,34125,384,B
33519,34166,381,B
33560,34208,381,B
33600,34250,379,P
33641,34291,379,B
33680,34333,376,P
33728,34375,382,I
33766,34416,379,B
33809,34458,380,B
33854,34500,383,B
33897,34541,384,P
33933,34583,379,B
33976,34625,380,B
34017,34666,380,B
34056,34708,377,P
34105,34750,384,B
34143,34791,380,B
34180,34833,376,B
34224,34875,378,P
34272,34916,385,B
34309,34958,379,P
34353,35000,382,I
34390,35041,378,B
34433,35083,379,B
34479,35125,383,B
34521,35166,384,P
34560,35208,381,B
34601,35250,380,B
34641,35291,379,B
34688,35333,384,P
34728,35375,382,B
34764,35416,377,B
34808,35458,379,B
34856,35500,385,P
34896,35541,384,B
34937,35583,383,P
34976,35625,380,I
35014,35666,377,B
35057,35708,378,B
35104,35750,383,B
35144,35791,382,P
35185,35833,381,B
35224,35875,378,B
35269,35916,381,B
35313,35958,383,P
35353,36000,382,B
35391,36041,379,B
35432,36083,378,B
35481,36125,385,P
35521,36166,384,B
35556,36208,377,P
35601,36250,380,I
35640,36291,378,B
35692,36333,388,B
35729,36375,382,B
35769,36416,382,P
35809,36458,379,B
35849,36500,377,B
35895,36541,383,B
35931,36583,377,P
35976,36625,380,B
36017,36666,379,B
36065,36708,386,B
36105,36750,384,P
36139,36791,377,B
36184,36833,380,P
36225,36875,378,I
36265,36916,378,B
36313,36958,384,B
36352,37000,381,B
36392,37041,380,P
36433,37083,379,B
36481,37125,384,B
36520,37166,383,B
36557,37208,377,P
36601,37250,380,B
36640,37291,378,B
36689,37333,385,B
36723,37375,377,P
36769,37416,382,B
36809,37458,380,P
36849,37500,378,I
36893,37541,381,B
36937,37583,383,B
36977,37625,381,B
37017,37666,380,P
37056,37708,377,B
37105,37750,384,B
37145,37791,382,B
37182,37833,378,P
37224,37875,378,B
37268,37916,381,B
37312,37958,383,B
37352,38000,381,P
37389,38041,377,B
37431,38083,377,P
37480,38125,384,I
37521,38166,384,B
37559,38208,380,B
37601,38250,380,B
37640,38291,378,P
37688,38333,384,B
37729,38375,383,B
37768,38416,381,B
37806,38458,377,P
