at_sec latencyMs frameType
0.000 171 P
1.003 299 P
2.018 314 B
3.020 316 B
4.028 324 B
5.027 323 B
6.004 341 P
7.039 335 P
8.004 340 P
9.044 340 B
10.002 339 B
11.042 338 P
12.001 337 P
13.044 340 B
14.044 340 B
15.044 339 B
16.036 372 B
17.033 370 P
18.036 373 B
19.021 358 I
20.036 373 B
21.003 382 P
22.040 377 P
23.000 379 B
24.004 383 P
25.043 380 B
26.004 383 B
27.003 382 B
28.004 383 B
29.002 380 P
30.003 382 P
31.019 440 B
32.044 465 B
33.003 549 B
34.011 557 B
35.036 582 P
36.036 582 B
37.036 748 B
38.011 807 B
39.001 963 I
40.028 990 B
41.043 1172 P
42.024 1278 B
43.090 1386 P
44.036 1540 P
45.028 1657 P
46.036 2040 P
47.027 2448 B
48.004 2841 P
49.026 3113 B
50.027 3573 P
51.028 4115 P
52.027 4615 I
53.005 4968 I
54.007 5304 B
55.012 5641 B
56.027 6032 P
57.011 6391 P
58.007 7011 P
59.245 7541 P
60.045 7716 B
61.036 8123 B
62.096 9142 B
64.103 10607 B
64.148 10610 P
65.210 11215 B
66.427 12264 B
67.200 12662 B
68.581 13752 B
69.036 13915 B
70.755 15301 B
71.191 15570 B
72.841 16803 P
73.043 16839 B
74.911 18207 B
75.195 18366 B
76.424 19137 P
77.012 19141 B
78.409 19830 B
79.340 20136 P
80.188 20360 B
81.291 20837 B
82.193 21114 B
83.143 21440 P
84.070 21741 P
85.385 22472 P
86.004 22633 P
87.003 23008 P
88.004 23550 P
89.044 24131 I
90.130 24676 B
91.003 24840 I
92.036 24999 B
93.028 25157 B
94.004 25383 P
95.020 25566 P
96.012 25641 B
97.020 25774 B
98.034 25871 B
99.004 26009 P
100.004 26008 P
101.009 26181 P
102.012 26266 P
103.027 26407 P
104.028 26533 B
105.028 26533 P
106.006 26552 B
107.008 26555 P
108.012 26558 B
109.011 26558 B
110.012 26559 P
111.006 26552 P
112.010 26557 B
113.007 26553 B
114.012 26559 B
115.006 26553 B
116.006 26553 B
117.012 26559 B
118.009 26555 B
119.012 26559 P
120.007 26554 B
121.011 26558 B
122.011 26558 B
123.009 26555 B
124.009 26556 B
125.011 26558 B
126.009 26556 B
127.009 26556 P
128.009 26556 B
129.011 26558 B
130.011 26558 B
131.006 26553 P
132.011 26558 P
133.010 26557 B
134.010 26557 B
135.010 26557 B
