at_sec latencyMs
0.081 168
0.837 298
1.483 320
2.108 319
2.723 310
3.356 318
3.987 324
4.612 324
5.228 315
5.873 335
6.500 337
7.123 334
7.748 334
8.371 333
8.995 332
9.624 335
10.252 339
10.876 338
11.500 336
12.124 336
12.746 333
13.371 333
13.995 332
14.624 336
15.265 352
15.908 369
16.536 373
17.158 370
17.787 373
18.412 374
19.021 358
19.660 372
20.290 376
20.916 378
21.545 381
22.166 378
22.795 382
23.420 382
24.043 380
24.668 380
25.292 378
25.916 378
26.547 384
27.172 384
27.796 382
28.420 381
29.043 380
29.667 379
30.339 426
30.980 442
31.623 460
32.276 488
32.962 549
33.595 557
34.244 581
34.868 580
35.492 579
36.115 577
36.902 739
37.588 800
38.328 915
39.001 963
39.651 988
40.323 1035
41.079 1166
41.817 1279
42.470 1307
43.177 1389
43.955 1542
44.691 1653
45.604 1941
46.735 2447
47.755 2842
48.627 3089
49.740 3577
50.904 4116
52.027 4615
53.005 4968
53.972 5309
54.927 5639
55.948 6035
56.923 6386
58.241 7078
59.331 7543
60.132 7719
62.187 9150
64.396 10733
66.555 12268
68.668 13755
70.844 15307
72.996 16833
74.996 18208
76.552 19139
77.444 19406
78.500 19837
79.428 20140
80.276 20364
81.379 20842
82.284 21121
83.228 21441
84.156 21743
85.515 22478
86.668 23005
87.835 23548
89.044 24131
90.213 24676
91.003 24840
91.787 25000
92.571 25158
93.272 25234
94.043 25381
94.849 25561
95.551 25639
96.264 25727
96.936 25774
97.659 25872
98.348 25935
99.042 26005
99.666 26004
100.316 26028
101.094 26182
101.804 26266
102.567 26404
103.203 26416
103.947 26535
104.568 26531
105.218 26555
105.844 26557
106.468 26556
107.092 26555
107.716 26554
108.348 26560
108.971 26559
109.589 26552
110.218 26556
110.843 26556
111.468 26556
112.092 26554
112.715 26553
113.348 26561
113.971 26559
114.593 26555
115.217 26555
115.843 26556
116.467 26555
117.091 26554
117.714 26551
118.340 26553
118.972 26559
119.592 26555
120.220 26557
120.842 26555
121.467 26555
122.092 26554
122.714 26552
123.339 26552
123.968 26556
124.594 26557
125.215 26553
125.843 26556
126.467 26554
127.092 26555
127.715 26553
128.340 26553
128.966 26554
129.591 26554
130.216 26553
130.844 26557
131.466 26554
132.091 26554
132.715 26553
133.340 26553
133.970 26557
134.596 26559
