at_sec latencyMs frameType
0.000 171 P
0.043 172 P
0.081 168 I
0.123 169 B
0.165 169 B
0.210 172 B
0.250 170 P
0.292 171 B
0.334 170 B
0.374 169 B
0.417 171 P
0.459 171 B
0.499 170 B
0.548 176 B
0.587 174 P
0.747 292 B
0.790 294 P
0.837 298 I
0.875 295 B
0.915 294 B
0.956 292 B
1.003 299 P
1.043 297 B
1.084 296 B
1.123 293 B
1.171 300 P
1.211 298 B
1.252 298 B
1.291 294 B
1.331 292 P
1.393 314 B
1.436 315 P
1.483 320 I
1.524 320 B
1.564 317 B
1.603 315 B
1.644 314 P
1.692 320 B
1.732 318 B
1.772 318 B
1.812 316 P
1.856 318 B
1.896 316 B
1.935 314 B
1.978 315 P
2.018 314 B
2.063 316 P
2.108 319 I
2.148 319 B
2.187 316 B
2.228 314 B
2.275 321 P
2.316 320 B
2.356 318 B
2.396 317 B
2.436 314 P
2.478 314 B
2.518 314 B
2.563 317 B
2.604 316 P
2.637 307 B
2.681 309 P
2.723 310 I
2.764 309 B
2.808 312 B
2.852 313 B
2.892 313 P
2.932 311 B
2.971 308 B
3.020 316 B
3.058 312 P
3.097 309 B
3.137 308 B
3.179 308 B
3.224 311 P
3.268 313 B
3.310 313 P
3.356 318 I
3.396 317 B
3.435 314 B
3.484 320 B
3.524 320 P
3.564 318 B
3.604 315 B
3.644 315 B
3.691 320 P
3.732 318 B
3.771 317 B
3.811 315 B
3.850 312 P
3.901 322 B
3.948 326 P
3.987 324 I
4.028 324 B
4.076 329 B
4.116 327 B
4.156 326 P
4.196 325 B
4.236 323 B
4.284 329 P
4.323 327 P
4.364 326 P
4.403 324 B
4.446 325 B
4.485 322 B
4.532 328 P
4.572 326 P
4.612 324 I
4.652 323 B
4.699 328 B
4.739 326 B
4.780 325 P
4.820 324 P
4.868 330 P
4.908 328 P
4.942 321 B
4.987 324 P
5.027 323 B
5.070 324 P
5.111 323 B
5.136 307 B
5.179 307 P
5.228 315 I
5.266 312 B
5.308 312 B
5.347 309 P
5.388 308 B
5.433 312 B
5.475 311 B
5.516 312 P
5.556 309 B
5.596 308 B
5.637 308 B
5.684 313 P
