at_sec ptsMs
0 11.958
0.037 11.916
0.08 12.0
0.145 12.208
0.165 12.125
0.21 12.083
0.249 12.166
0.318 12.375
0.333 12.291
0.373 12.25
0.417 12.333
0.489 12.458
0.5 12.416
0.723 12.5
0.737 12.666
0.745 12.583
0.752 12.541
0.759 12.625
0.808 12.833
0.817 12.75
0.836 12.708
0.874 12.791
0.955 13.0
0.968 12.916
1.003 12.875
1.043 12.958
1.109 13.083
1.128 13.041
1.357 13.125
1.383 13.291
1.392 13.208
1.399 13.166
1.406 13.25
1.449 13.458
1.462 13.375
1.47 13.333
1.501 13.416
1.575 13.625
1.59 13.541
1.623 13.5
1.669 13.583
1.731 13.708
1.752 13.666
1.975 13.75
2.002 13.916
2.009 13.833
2.017 13.791
2.022 13.875
2.069 14.083
2.08 14.0
2.087 13.958
2.126 14.041
2.199 14.25
2.215 14.166
2.249 14.125
2.294 14.208
2.349 14.333
2.377 14.291
2.607 14.375
2.625 14.541
2.635 14.458
2.643 14.416
2.65 14.5
2.685 14.708
2.696 14.625
2.706 14.583
2.75 14.666
2.829 14.875
2.84 14.791
2.876 14.75
2.912 14.833
2.981 14.958
3.001 14.916
3.229 15.0
3.257 15.166
3.266 15.083
3.273 15.041
3.279 15.125
3.319 15.333
3.33 15.25
3.337 15.208
3.376 15.291
3.442 15.5
3.465 15.416
3.502 15.375
3.543 15.458
3.604 15.583
3.623 15.541
3.862 15.625
3.895 15.791
3.9 15.708
3.903 15.666
3.907 15.75
3.925 15.916
3.929 15.833
3.957 15.875
4.014 15.958
4.065 16.0
4.12 16.166
4.128 16.083
4.168 16.041
4.209 16.125
4.266 16.208
4.434 16.25
4.464 16.416
4.472 16.333
4.478 16.291
4.485 16.375
4.51 16.458
4.545 16.5
4.59 16.541
4.64 16.625
4.666 16.583
4.716 16.708
4.75 16.666
4.794 16.833
4.832 16.75
4.872 16.791
5.111 16.875
5.128 17.0
5.135 16.916
5.143 16.958
5.168 17.166
5.177 17.083
5.185 17.041
5.208 17.125
5.272 17.333
5.295 17.25
5.334 17.208
5.376 17.291
5.446 17.375
5.479 17.458
5.504 17.416
5.742 17.5
5.772 17.583
5.785 17.541
5.807 17.625
5.824 17.666
5.841 17.708
5.859 17.75
5.882 17.791
5.901 17.833
5.931 17.875
5.972 17.916
6.014 17.958
6.074 18.083
6.092 18.0
6.137 18.041
6.364 18.125
6.393 18.166
6.41 18.208
6.446 18.375
6.454 18.291
6.461 18.25
6.468 18.333
6.485 18.416
