sec bitrateReceivedKbit
0.0 2.22
0.0 4.27
0.1 5.95
0.1 28.20
0.2 32.15
0.2 35.61
0.2 37.38
0.3 68.98
0.3 75.18
0.4 79.74
0.4 82.16
0.5 114.78
0.5 118.32
0.7 294.26
0.7 307.25
0.7 312.57
0.8 316.08
0.8 319.29
0.8 363.52
0.8 369.01
0.8 373.10
0.9 376.12
1.0 416.26
1.0 426.09
1.0 429.45
1.0 431.40
1.1 457.59
1.1 463.06
1.4 578.68
1.4 597.41
1.4 603.46
1.4 607.59
1.4 610.53
1.4 648.12
1.5 656.79
1.5 662.03
1.5 629.67
1.6 664.29
1.6 674.69
1.6 680.50
1.7 685.25
1.7 534.79
1.8 521.78
2.0 587.10
2.0 610.26
2.0 610.27
2.0 614.51
2.0 617.33
2.1 656.08
2.1 663.26
2.1 667.98
2.1 643.72
2.2 671.38
2.2 680.46
2.2 685.22
2.3 689.88
2.3 709.29
2.4 529.64
2.6 579.48
2.6 589.97
2.6 597.20
2.6 601.37
2.6 605.46
2.7 632.50
2.7 640.16
2.7 644.94
2.8 623.49
2.8 656.27
2.8 666.15
2.9 671.34
2.9 675.56
3.0 521.50
3.0 526.36
3.2 571.52
3.3 592.24
3.3 598.74
3.3 602.72
3.3 606.10
3.3 637.75
3.3 645.97
3.3 650.86
3.4 635.01
3.4 659.16
3.5 669.79
3.5 674.97
3.5 679.63
3.6 705.30
3.6 521.81
3.9 583.09
3.9 608.30
3.9 609.73
3.9 610.98
3.9 612.26
3.9 621.75
3.9 623.69
4.0 624.90
4.0 613.96
4.1 638.70
4.1 677.30
4.1 682.51
4.2 686.38
4.2 689.84
4.3 501.62
4.4 576.45
4.5 573.46
4.5 568.82
4.5 572.00
4.5 576.38
4.5 587.10
4.5 593.71
4.6 603.46
4.6 589.39
4.7 592.58
4.7 602.54
4.8 605.18
4.8 611.26
4.8 614.26
4.9 428.13
5.1 523.05
5.1 499.44
5.1 499.12
5.1 502.84
5.2 523.94
5.2 526.40
5.2 530.44
5.2 533.74
5.3 535.43
5.3 541.89
5.3 545.46
5.4 549.17
5.4 438.81
5.5 425.79
5.5 427.89
5.7 555.32
5.8 580.68
5.8 589.70
5.8 601.74
5.8 616.42
5.8 626.58
5.9 642.74
5.9 657.06
5.9 674.10
5.9 690.72
6.0 706.98
6.0 723.85
6.1 762.21
6.1 775.48
6.1 582.46
6.4 703.07
6.4 724.56
6.4 738.76
6.4 770.50
6.5 745.92
6.5 750.39
6.5 754.18
6.5 745.84
6.5 753.80
6.6 774.99
6.6 780.64
6.6 802.39
6.7 807.98
6.7 827.55
6.8 644.54
7.0 667.35
7.0 677.17
7.0 684.05
7.0 688.15
7.0 692.02
7.1 693.53
7.1 688.30
7.1 692.90
7.1 697.89
7.2 704.77
7.2 710.53
7.2 713.88
7.3 717.02
7.3 726.60
7.4 537.54
7.6 582.42
7.6 607.21
7.6 613.02
7.6 595.26
7.7 598.59
7.7 612.80
7.7 616.57
7.7 630.97
7.8 614.04
7.8 627.20
7.8 640.37
7.9 685.40
7.9 693.73
8.0 709.34
8.0 520.46
8.2 621.60
8.3 638.37
8.3 655.16
