sec bitrateReceivedKbit
0.0 2.22
0.0 4.27
0.1 5.95
0.1 5.95
0.2 9.90
0.2 13.36
0.2 15.14
0.3 15.14
0.3 21.34
0.4 25.90
0.4 28.32
0.5 28.32
0.5 31.86
0.7 31.86
0.7 31.86
0.7 37.18
0.8 40.70
0.8 43.90
0.8 43.90
0.8 49.39
0.8 53.49
0.9 56.50
1.0 56.50
1.0 66.33
1.0 69.69
1.0 73.70
1.1 69.96
1.1 75.43
1.4 60.04
1.4 55.48
1.4 61.54
1.4 65.66
1.4 68.60
1.5 66.18
1.5 74.86
1.5 80.10
1.5 80.35
1.6 80.35
1.6 90.75
1.6 96.57
1.7 101.31
1.7 101.31
1.8 101.29
2.0 72.14
2.0 72.14
2.0 72.16
2.0 76.40
2.0 79.22
2.1 75.21
2.1 82.38
2.1 87.11
2.1 90.72
2.2 85.25
2.2 94.33
2.3 99.09
2.3 103.75
2.3 103.75
2.4 108.95
2.6 67.72
2.6 61.90
2.6 69.14
2.6 73.30
2.7 77.39
2.7 72.65
2.7 80.31
2.7 85.09
2.8 89.12
2.8 83.82
2.8 93.70
2.9 98.89
2.9 103.11
3.0 103.11
3.0 107.97
3.2 70.73
3.3 65.97
3.3 72.46
3.3 76.45
3.3 79.83
3.3 75.17
3.3 83.38
3.3 88.28
3.4 91.83
3.4 86.63
3.5 97.26
3.5 102.44
3.5 107.10
3.6 107.10
3.6 112.59
3.9 70.75
3.9 65.57
3.9 66.99
3.9 68.25
3.9 69.52
3.9 65.30
3.9 67.23
4.0 68.45
4.0 63.59
4.1 63.59
4.1 63.59
4.1 68.80
4.2 72.66
4.2 76.13
4.3 69.63
4.4 45.60
4.5 45.60
4.5 40.95
4.5 44.14
4.5 48.51
4.5 43.34
4.6 38.67
4.6 38.67
4.6 33.18
4.7 36.38
4.7 36.38
4.8 39.02
4.8 39.02
4.8 42.02
4.9 45.18
5.1 38.07
5.1 32.86
5.1 37.75
5.1 41.47
5.2 37.61
5.2 43.94
5.2 47.98
5.2 51.27
5.3 47.81
5.3 54.26
5.3 57.84
5.4 61.54
5.4 61.54
5.5 52.38
5.5 54.47
5.7 51.28
5.8 48.64
5.8 57.66
5.8 57.66
5.8 57.66
5.8 54.66
5.9 54.66
5.9 51.50
5.9 51.50
5.9 51.50
6.0 51.50
6.0 51.50
6.1 51.50
6.1 64.77
6.1 81.22
6.4 48.91
6.4 45.21
6.4 45.21
6.4 45.21
6.5 51.93
6.5 56.40
6.5 60.19
6.5 60.19
6.5 53.72
6.6 53.72
6.6 59.37
6.6 59.37
6.7 64.95
6.7 64.95
6.8 64.95
7.0 55.94
7.0 55.94
7.0 62.82
7.0 66.92
7.0 70.78
7.1 70.78
7.1 78.83
7.1 70.16
7.1 75.14
7.2 58.70
7.2 64.46
7.3 67.81
7.3 70.94
7.3 70.94
7.4 74.87
7.6 54.24
7.6 54.24
7.6 60.06
7.6 64.05
7.7 67.38
7.7 61.79
7.7 65.56
7.7 65.56
7.8 65.56
7.8 65.56
7.8 65.56
7.9 65.56
7.9 73.89
8.0 89.50
8.0 78.51
8.2 51.26
8.3 47.90
8.3 47.90
