sec bitrateReceivedKbit
0.7 175.94
0.7 175.94
0.7 175.94
0.8 175.94
0.8 175.94
0.8 175.94
0.8 175.94
0.8 175.94
0.9 175.94
1.0 175.94
1.0 175.94
1.0 175.94
1.0 175.94
1.1 175.94
1.1 175.94
1.4 360.78
1.4 360.78
1.4 360.78
1.4 360.78
1.4 360.78
1.5 360.78
1.5 360.78
1.5 360.78
1.5 360.78
1.6 360.78
1.6 360.78
1.6 360.78
1.7 360.78
1.7 184.85
1.8 184.85
2.0 363.69
2.0 363.69
2.0 363.69
2.0 363.69
2.0 363.69
2.1 363.69
2.1 363.69
2.1 363.69
2.1 363.69
2.2 363.69
2.2 363.69
2.3 363.69
2.3 363.69
2.3 363.69
2.4 178.84
2.6 367.82
2.6 367.82
2.6 367.82
2.6 367.82
2.7 367.82
2.7 367.82
2.7 367.82
2.7 367.82
2.8 367.82
2.8 367.82
2.8 367.82
2.9 367.82
2.9 367.82
3.0 188.98
3.0 188.98
3.2 370.43
3.3 370.43
3.3 370.43
3.3 370.43
3.3 370.43
3.3 370.43
3.3 370.43
3.3 370.43
3.4 370.43
3.4 370.43
3.5 370.43
3.5 370.43
3.5 370.43
3.6 370.43
3.6 181.45
3.9 370.74
3.9 370.74
3.9 370.74
3.9 370.74
3.9 370.74
3.9 370.74
3.9 370.74
4.0 370.74
4.0 370.74
4.1 370.74
4.1 370.74
4.1 370.74
4.2 370.74
4.2 370.74
4.3 189.29
4.4 330.95
4.5 330.95
4.5 330.95
4.5 330.95
4.5 330.95
4.5 330.95
4.6 330.95
4.6 330.95
4.6 330.95
4.7 330.95
4.7 330.95
4.8 330.95
4.8 330.95
4.8 330.95
4.9 141.66
5.1 331.24
5.1 331.24
5.1 331.24
5.1 331.24
5.2 331.24
5.2 331.24
5.2 331.24
5.2 331.24
5.3 331.24
5.3 331.24
5.3 331.24
5.4 331.24
5.4 189.58
5.5 189.58
5.5 189.58
5.7 384.17
5.8 384.17
5.8 384.17
5.8 384.17
5.8 384.17
5.8 384.17
5.9 384.17
5.9 384.17
5.9 384.17
5.9 384.17
6.0 384.17
6.0 384.17
6.1 384.17
6.1 384.17
6.1 194.59
6.4 387.58
6.4 387.58
6.4 387.58
6.4 387.58
6.5 387.58
6.5 387.58
6.5 387.58
6.5 387.58
6.5 387.58
6.6 387.58
6.6 387.58
6.6 387.58
6.7 387.58
6.7 387.58
6.8 192.99
7.0 382.34
7.0 382.34
7.0 382.34
7.0 382.34
7.0 382.34
7.1 382.34
7.1 382.34
7.1 382.34
7.1 382.34
7.2 382.34
7.2 382.34
7.3 382.34
7.3 382.34
7.3 382.34
7.4 189.35
7.6 375.81
7.6 375.81
7.6 375.81
7.6 375.81
7.7 375.81
7.7 375.81
7.7 375.81
7.7 375.81
7.8 375.81
7.8 375.81
7.8 375.81
7.9 375.81
7.9 375.81
8.0 375.81
8.0 186.46
8.2 378.06
8.3 378.06
8.3 378.06
8.3 378.06
8.3 378.06
8.3 378.06
8.3 378.06
8.3 378.06
8.4 378.06
8.4 378.06
8.5 378.06
8.5 378.06
8.6 378.06
8.6 191.60
8.6 191.60
8.9 379.72
8.9 379.72
8.9 379.72
8.9 379.72
8.9 379.72
9.0 379.72
9.0 379.72
9.0 379.72
9.0 379.72
9.1 379.72
9.1 379.72
9.1 379.72
9.2 379.72
9.2 379.72
9.3 188.12
9.5 380.98
9.5 380.98
9.5 380.98
9.6 380.98
9.6 380.98
9.6 380.98
9.6 380.98
9.6 380.98
9.6 380.98
9.7 380.98
9.7 380.98
9.8 380.98
9.8 380.98
9.8 380.98
9.9 192.86
10.1 386.10
10.1 386.10
10.2 386.10
10.2 386.10
10.2 386.10
10.2 386.10
10.2 386.10
10.2 386.10
10.3 386.10
10.3 386.10
10.4 386.10
10.4 386.10
10.4 386.10
10.5 386.10
10.5 193.23
10.7 386.57
10.8 386.57
10.8 386.57
10.8 386.57
10.8 386.57
10.8 386.57
10.8 386.57
10.8 386.57
10.9 386.57
10.9 386.57
11.0 386.57
11.0 386.57
11.0 386.57
11.2 193.34
11.2 193.34
11.3 292.54
11.3 292.54
11.3 292.54
11.3 292.54
11.3 292.54
11.4 292.54
11.4 292.54
11.5 292.54
11.5 292.54
11.6 292.54
11.6 292.54
11.6 292.54
11.7 292.54
11.7 99.21
11.8 99.21
12.0 268.74
12.0 268.74
12.0 268.74
12.0 268.74
12.0 268.74
12.1 268.74
12.1 268.74
12.1 268.74
12.1 268.74
12.2 268.74
12.2 268.74
12.3 268.74
12.3 169.53
12.4 169.53
12.4 169.53
12.6 346.29
12.6 346.29
12.6 346.29
12.6 346.29
12.6 346.29
12.7 346.29
12.7 346.29
12.7 346.29
12.8 346.29
12.8 346.29
12.8 346.29
12.9 346.29
12.9 346.29
13.0 176.76
13.0 176.76
13.2 360.30
13.3 360.30
13.3 360.30
13.3 360.30
13.3 360.30
13.3 360.30
13.3 360.30
13.3 360.30
13.4 360.30
13.5 360.30
13.5 360.30
13.5 360.30
13.5 360.30
13.6 183.54
13.6 183.54
13.8 361.69
13.9 361.69
13.9 361.69
13.9 361.69
13.9 361.69
13.9 361.69
13.9 361.69
14.0 361.69
14.0 361.69
14.1 361.69
14.1 361.69
14.1 361.69
14.2 361.69
14.2 178.14
14.3 178.14
14.5 357.91
14.5 357.91
14.5 357.91
14.5 357.91
14.5 357.91
14.6 357.91
14.6 357.91
14.6 357.91
14.6 357.91
14.7 357.91
14.7 357.91
14.8 357.91
14.8 357.91
14.9 179.77
14.9 179.77
15.1 361.91
15.2 361.91
15.2 361.91
15.2 361.91
15.2 361.91
15.2 361.91
15.3 361.91
15.3 361.91
15.3 361.91
15.3 361.91
15.3 361.91
15.4 361.91
15.4 361.91
15.5 182.14
15.5 182.14
