at,payloadSizeBytes,frameType
7151,277,B
7193,257,B
7233,210,B
7297,2781,P
7317,494,B
7361,432,B
7401,222,B
7474,3949,P
7484,776,B
7525,570,B
7569,302,B
7643,4077,P
7649,443,B
7876,21992,I
7891,1624,P
7900,665,B
7906,439,B
7911,401,B
7961,5529,P
7969,686,B
7988,512,B
8028,377,B
8104,5018,P
8118,1228,B
8155,697,B
8192,501,B
8257,3484,P
8282,684,B
8510,23106,I
8536,2911,P
8545,757,B
8552,516,B
8556,367,B
8602,5001,P
8613,1084,B
8622,655,B
8653,475,B
8725,4327,P
8743,1300,B
8779,727,B
8819,593,B
8884,3185,P
8904,662,B
9128,22355,I
9154,2895,P
9162,699,B
9169,530,B
9176,352,B
9221,5345,P
9234,897,B
9242,591,B
9278,451,B
9351,4141,P
9365,1135,B
9403,595,B
9445,583,B
9498,2426,P
9529,650,B
9760,23623,I
9780,2038,P
9790,904,B
9796,521,B
9804,511,B
9840,3973,P
9850,958,B
9858,597,B
9903,504,B
9980,4760,P
9991,1235,B
10028,648,B
10067,528,B
10134,3098,P
10153,607,B
10380,22681,I
10407,3185,P
10416,812,B
10423,498,B
10430,423,B
10471,4539,P
10482,1027,B
10489,612,B
10528,444,B
10596,3669,P
10619,1329,B
10652,647,B
10697,583,B
10758,3209,P
10780,686,B
11011,23661,I
11045,3800,P
11050,178,B
11053,157,B
11058,159,B
11075,1715,P
11081,242,B
11109,152,B
11169,2337,P
11217,3092,P
11271,4826,P
11279,651,B
11316,483,B
11363,433,B
11417,2339,P
11587,17708,I
11616,3296,P
11625,748,B
11630,398,B
11639,547,B
11664,1987,P
11704,1410,P
11739,1219,P
11788,2136,P
11817,399,B
11868,1244,P
11901,330,B
11947,760,P
11985,375,B
12026,395,B
12264,23697,I
12282,1875,P
12290,611,B
12296,465,B
12321,2637,P
12330,791,B
12336,505,B
12360,412,B
12424,2984,P
12447,807,B
12487,447,B
12526,463,B
12597,3913,P
12632,2815,P
12658,809,B
12892,24324,I
12923,3500,P
12934,1127,B
12955,2265,P
12974,1836,P
12991,1645,P
13009,2020,P
13030,2184,P
13049,2130,P
13083,2078,P
13122,2033,P
13162,2108,P
13233,4795,P
13249,1659,B
13289,2056,B
13517,24124,I
13547,3149,P
13564,1775,P
13599,3968,P
13609,840,B
13616,559,B
13621,474,B
13638,1772,P
13665,1804,P
13714,2649,P
13740,706,B
13797,2719,P
13822,698,B
13879,2447,P
13912,1448,P
14140,23669,I
14170,3335,P
14179,860,B
14186,513,B
14191,483,B
14237,4984,P
14247,1006,B
14254,575,B
14279,623,B
14340,2916,P
14365,720,B
14402,419,B
14445,392,B
14493,1198,P
14525,491,B
14757,23307,I
14785,3098,P
14794,727,B
14799,499,B
14806,416,B
14831,2474,P
14835,471,B
14872,1800,P
14914,1779,P
14956,1645,P
14996,1646,P
15068,5629,P
15077,1041,B
15122,1951,B
15189,4767,P
15393,23950,I
15416,2515,P
15436,2099,P
15446,942,B
15463,1742,P
15472,908,B
15489,1809,P
15500,962,B
15543,2132,P
15579,1383,B
15630,2884,P
15679,3707,P
15735,5222,P
15768,3789,P
15787,1589,B
16011,23515,I
16043,3539,P
16062,2024,B
16072,1023,B
16087,1374,B
16112,2685,P
16146,3615,P
16174,3046,P
16184,845,B
16206,2270,P
16236,472,B
16277,363,B
16326,1104,P
16365,973,P
16403,322,P
16641,24108,I
16669,3056,P
16698,3003,P
16726,3263,P
16734,559,B
16767,3525,P
16776,800,B
16783,540,B
16789,415,B
16841,3099,P
16862,715,B
16903,476,B
16945,405,B
16996,1710,P
17030,468,B
17268,24154,I
17296,3128,P
17302,408,B
17329,2888,P
17370,4737,P
17382,1012,B
17388,685,B
17394,386,B
17422,2775,P
17443,586,B
17504,2605,P
17551,3163,P
17573,831,B
17611,480,B
17649,386,B
17890,24167,I
17910,2230,P
17928,1741,P
17942,1450,P
17956,1199,P
17971,1596,P
17983,1081,P
17988,476,B
18024,352,B
18094,3391,P
18110,535,B
18150,425,B
18194,326,B
18309,9221,P
18313,165,B
18419,12401,I
18435,1729,P
18443,549,B
18450,475,B
18482,446,B
18555,3556,P
18573,749,B
18614,671,B
18655,615,B
18725,4024,P
18735,854,B
18780,709,B
18820,594,B
18900,5054,P
18908,559,B
19113,21191,I
19139,2820,P
19149,849,B
