at,ptsMs,latencyMs,frameType
7151,11791,169,P
7191,11833,166,P
7233,11875,168,I
7279,11916,171,B
7317,11958,168,B
7358,12000,168,B
7399,12041,166,P
7446,12083,172,B
7484,12125,169,B
7526,12166,168,B
7566,12208,167,P
7606,12250,166,B
7649,12291,167,B
7694,12333,170,B
7730,12375,165,P
7901,12416,294,B
7944,12458,295,P
7988,12500,298,I
8028,12541,296,B
8071,12583,296,B
8110,12625,294,B
8155,12666,298,P
8192,12708,293,B
8238,12750,298,B
8278,12791,296,B
8326,12833,302,P
8365,12875,300,B
8405,12916,298,B
8444,12958,295,B
8486,13000,296,P
8546,13041,314,B
8589,13083,315,P
8639,13125,323,I
8679,13166,321,B
8717,13208,318,B
8759,13250,318,B
8799,13291,316,P
8847,13333,323,B
8884,13375,319,B
8927,13416,319,B
8966,13458,317,P
9006,13500,316,B
9048,13541,316,B
9088,13583,314,B
9131,13625,316,P
9170,13666,313,B
9214,13708,315,P
9262,13750,322,I
9302,13791,319,B
9343,13833,318,B
9383,13875,317,B
9423,13916,315,P
9470,13958,321,B
9510,14000,320,B
9551,14041,318,B
9591,14083,316,P
9629,14125,314,B
9672,14166,315,B
9718,14208,319,B
9758,14250,318,P
9792,14291,309,B
9835,14333,311,P
9879,14375,313,I
9919,14416,311,B
9959,14458,310,B
10006,14500,316,B
10047,14541,315,P
10085,14583,311,B
10126,14625,311,B
10174,14666,317,B
10209,14708,309,P
10254,14750,314,B
10294,14791,311,B
10336,14833,312,B
10376,14875,310,P
10417,14916,310,B
10462,14958,312,P
10502,15000,312,I
10551,15041,319,B
10584,15083,309,B
10631,15125,316,B
10671,15166,313,P
10719,15208,319,B
10750,15250,310,B
10798,15291,316,B
10838,15333,314,P
10878,15375,313,B
10922,15416,315,B
10960,15458,311,B
11006,15500,316,P
11051,15541,319,B
11094,15583,320,P
11142,15625,327,I
11183,15666,326,B
11218,15708,319,B
11260,15750,319,B
11303,15791,320,P
11351,15833,326,B
11390,15875,325,B
11430,15916,323,P
11468,15958,319,P
11517,16000,326,P
11556,16041,323,B
11598,16083,324,B
11638,16125,323,B
11679,16166,321,P
11726,16208,327,P
11767,16250,326,I
11806,16291,323,B
11847,16333,323,B
11886,16375,321,B
11934,16416,327,P
11974,16458,325,P
12014,16500,324,P
12054,16541,322,P
12095,16583,320,B
12135,16625,320,P
12183,16666,325,B
12222,16708,323,P
12263,16750,323,B
12291,16791,309,B
12333,16833,309,P
12382,16875,317,I
12418,16916,311,B
12463,16958,313,B
12502,17000,312,P
12551,17041,318,B
12584,17083,310,B
12626,17125,311,B
12670,17166,313,P
12710,17208,311,B
12756,17250,316,B
12796,17291,314,B
12836,17333,312,P
12874,17375,309,P
12936,17416,329,B
12982,17458,332,P
13022,17500,331,I
13063,17541,331,B
13110,17583,336,P
13151,17625,336,P
13190,17666,332,P
13231,17708,332,P
13278,17750,338,P
13318,17791,335,P
13356,17833,332,P
13394,17875,329,P
13437,17916,330,P
13484,17958,334,P
13521,18000,331,B
13564,18041,332,B
13605,18083,331,P
13646,18125,331,I
13694,18166,337,P
13734,18208,335,P
13774,18250,333,B
13815,18291,332,B
13855,18333,331,B
13903,18375,337,P
13942,18416,334,P
13980,18458,331,P
14020,18500,329,B
14069,18541,336,P
14108,18583,334,B
14144,18625,329,P
14187,18666,329,P
14230,18708,331,P
14271,18750,330,I
14318,18791,336,B
14358,18833,334,B
14398,18875,333,B
14438,18916,331,P
14478,18958,329,B
14525,19000,335,B
14566,19041,334,B
14606,19083,332,P
14646,19125,330,B
14690,19166,333,B
14729,19208,330,B
14769,19250,329,P
14814,19291,332,B
14855,19333,330,P
14903,19375,338,I
14943,19416,336,B
14982,19458,333,B
15022,19500,331,B
15068,19541,336,P
15111,19583,336,B
15149,19625,334,P
15188,19666,331,P
15230,19708,331,P
15271,19750,330,P
15318,19791,336,P
15358,19833,334,B
15397,19875,332,B
15436,19916,329,P
15485,19958,335,P
15526,20000,336,I
15566,20041,334,P
15606,20083,332,B
15646,20125,331,P
15693,20166,336,B
15731,20208,332,P
15769,20250,328,B
15815,20291,333,P
15854,20333,330,B
15901,20375,336,P
15942,20416,334,P
15982,20458,332,P
16022,20500,332,P
16062,20541,330,B
16109,20583,334,P
16145,20625,330,I
16186,20666,328,B
16230,20708,331,B
16270,20750,330,B
16318,20791,336,P
16358,20833,334,P
16397,20875,332,P
16438,20916,331,B
16479,20958,330,P
16519,21000,329,B
16566,21041,334,B
16606,21083,332,P
16644,21125,329,P
16692,21166,335,P
16728,21208,328,P
16774,21250,334,I
16814,21291,331,P
16854,21333,330,P
16902,21375,337,B
16943,21416,336,P
16982,21458,333,B
17022,21500,332,B
17062,21541,330,B
17104,21583,330,P
17144,21625,329,B
17190,21666,333,B
17230,21708,330,B
17270,21750,329,P
17303,21791,321,B
17350,21833,326,P
17388,21875,323,I
17431,21916,323,B
17471,21958,321,P
17519,22000,329,P
17552,22041,320,B
17599,22083,325,B
17638,22125,323,B
17686,22166,329,P
17726,22208,327,B
17766,22250,326,P
17806,22291,324,P
17845,22333,321,B
17890,22375,325,B
17930,22416,323,B
17972,22458,322,P
18015,22500,324,I
18063,22541,331,P
18103,22583,328,P
18142,22625,327,P
18183,22666,326,P
18230,22708,331,P
18270,22750,330,B
18310,22791,327,B
18350,22833,325,P
18390,22875,325,B
18431,22916,324,B
18479,22958,329,B
18518,23000,328,P
18555,23041,323,B
18599,23083,324,P
18646,23125,331,I
18686,23166,329,B
18721,23208,321,B
18767,23250,326,B
18807,23291,324,P
18854,23333,330,B
18888,23375,322,B
18934,23416,327,B
18974,23458,325,P
19015,23500,324,B
19063,23541,330,B
19102,23583,328,B
19140,23625,324,P
19182,23666,324,B
19222,23708,323,P
19270,23750,330,I
19311,23791,328,B
19350,23833,326,B
19390,23875,325,B
19438,23916,331,P
19479,23958,329,B
19517,24000,327,B
19558,24041,326,B
19598,24083,324,P
19641,24125,326,B
19679,24166,322,B
19726,24208,327,B
19766,24250,326,P
19807,24291,324,B
19848,24333,324,P
19894,24375,328,I
19934,24416,327,B
19973,24458,324,B
20015,24500,325,B
20063,24541,331,P
20103,24583,328,B
20141,24625,326,B
20183,24666,326,B
20226,24708,327,P
20266,24750,325,B
20310,24791,327,B
20350,24833,326,B
20390,24875,325,P
20433,24916,326,B
20473,24958,324,P
20518,25000,328,I
20559,25041,326,B
20598,25083,323,B
20647,25125,332,B
20687,25166,329,P
20726,25208,327,B
20765,25250,325,B
20807,25291,325,B
20851,25333,326,P
20889,25375,324,B
20934,25416,327,B
20974,25458,325,B
21014,25500,324,P
21062,25541,330,B
21097,25583,322,P
21142,25625,327,I
21182,25666,325,B
21222,25708,322,B
21270,25750,330,B
21310,25791,328,P
21350,25833,326,B
21388,25875,323,B
21439,25916,331,B
21479,25958,329,P
21518,26000,328,B
21558,26041,326,B
21598,26083,324,B
21641,26125,326,P
21682,26166,325,B
21726,26208,327,P
21767,26250,326,I
21806,26291,324,B
21848,26333,324,B
21895,26375,329,B
21934,26416,327,P
21975,26458,325,B
22014,26500,323,B
22063,26541,331,B
22102,26583,328,P
22142,26625,327,B
22182,26666,325,B
22222,26708,323,B
22270,26750,329,P
22329,26791,347,B
22374,26833,350,P
22415,26875,349,I
22462,26916,355,B
22499,26958,350,B
22542,27000,352,B
22582,27041,350,P
22622,27083,347,B
22671,27125,355,B
22710,27166,353,B
22750,27208,351,P
22789,27250,349,B
22839,27291,357,B
22876,27333,352,B
22913,27375,347,P
22976,27416,369,B
23020,27458,370,P
23062,27500,371,I
23102,27541,370,B
23150,27583,376,B
23191,27625,375,B
23230,27666,373,P
23269,27708,370,B
23310,27750,370,B
23359,27791,377,B
23397,27833,373,P
23435,27875,369,B
23478,27916,370,B
23518,27958,369,B
23563,28000,373,P
23605,28041,373,B
23644,28083,369,P
23685,28125,370,I
23735,28166,378,B
23775,28208,376,B
23814,28250,374,B
23855,28291,373,P
23894,28333,370,B
23941,28375,376,B
23977,28416,370,B
24022,28458,373,P
24063,28500,372,B
24110,28541,378,B
24150,28583,375,B
24190,28625,375,P
24231,28666,373,B
24270,28708,371,P
24310,28750,370,I
24354,28791,371,B
24399,28833,375,B
24438,28875,373,B
24478,28916,371,P
24519,28958,370,B
24566,29000,375,B
24603,29041,370,B
24647,29083,372,P
24686,29125,371,B
24726,29166,368,B
24774,29208,375,B
24810,29250,369,P
24851,29291,369,B
24894,29333,370,P
24939,29375,373,I
24983,29416,375,B
25022,29458,373,B
25062,29500,372,B
25103,29541,371,P
25148,29583,374,B
25190,29625,375,B
25227,29666,369,B
25270,29708,371,P
25313,29750,373,B
25358,29791,376,B
25398,29833,374,B
25439,29875,374,P
25478,29916,370,B
25518,29958,369,P
25565,30000,375,I
25604,30041,372,B
25647,30083,372,B
25686,30125,371,B
25734,30166,377,P
25768,30208,369,B
25814,30250,374,B
25854,30291,372,B
25895,30333,371,P
25935,30375,369,B
25983,30416,375,B
26020,30458,371,B
26062,30500,372,P
26105,30541,373,B
26145,30583,371,P
26190,30625,375,I
26230,30666,373,B
26271,30708,372,B
26318,30750,378,B
26358,30791,376,P
26399,30833,374,B
26438,30875,373,B
26476,30916,369,B
26526,30958,377,P
26562,31000,372,B
26606,31041,374,B
26647,31083,372,B
26687,31125,371,P
26726,31166,369,B
26773,31208,373,P
26813,31250,373,I
26854,31291,372,B
26893,31333,369,B
26942,31375,377,B
26983,31416,376,P
27022,31458,373,B
27063,31500,373,B
27103,31541,370,B
27150,31583,376,P
27188,31625,373,B
27226,31666,369,B
27270,31708,371,B
27310,31750,370,P
27359,31791,376,B
27406,31833,382,P
27441,31875,376,I
27485,31916,378,B
27526,31958,377,B
27567,32000,377,P
27609,32041,377,B
27655,32083,381,B
27694,32125,379,B
27737,32166,380,P
27782,32208,383,B
27822,32250,382,B
27859,32291,376,P
27902,32333,378,B
27950,32375,385,P
27989,32416,382,B
28025,32458,376,P
28070,32500,380,I
28110,32541,377,B
28152,32583,377,P
28198,32625,383,B
28238,32666,381,B
28279,32708,380,P
28319,32750,379,B
28363,32791,381,P
28400,32833,375,B
28446,32875,381,P
28486,32916,379,B
28534,32958,385,B
28570,33000,379,B
28611,33041,378,P
28654,33083,380,P
28694,33125,379,I
28733,33166,376,B
28778,33208,379,B
28823,33250,382,B
28863,33291,380,P
28903,33333,378,B
28951,33375,385,B
28990,33416,383,B
29026,33458,377,P
29070,33500,380,B
29110,33541,378,B
29150,33583,376,B
29193,33625,378,P
29238,33666,381,B
29277,33708,378,P
29318,33750,377,I
29358,33791,376,B
29407,33833,383,B
29446,33875,381,B
29485,33916,378,P
29527,33958,378,B
29574,34000,384,B
29614,34041,382,B
29652,34083,378,P
29694,34125,379,B
29738,34166,381,B
29782,34208,382,B
29822,34250,382,P
29862,34291,380,B
29901,34333,377,P
29949,34375,383,I
29983,34416,376,B
30030,34458,381,B
30070,34500,379,B
30110,34541,378,P
30157,34583,383,B
30199,34625,383,B
30237,34666,380,B
30278,34708,379,P
30319,34750,379,B
30359,34791,377,B
30406,34833,382,B
30445,34875,379,P
30486,34916,379,B
30526,34958,377,P
30574,35000,383,I
30615,35041,382,B
30655,35083,380,B
30695,35125,379,B
30742,35166,385,P
30779,35208,380,B
30823,35250,382,B
30862,35291,380,B
30901,35333,377,P
30951,35375,385,B
30988,35416,381,B
31024,35458,375,B
31068,35500,378,P
31110,35541,378,B
31152,35583,378,P
31198,35625,383,I
31235,35666,377,B
31278,35708,379,B
31319,35750,379,B
31366,35791,384,P
31406,35833,382,B
31447,35875,381,B
31486,35916,379,B
31525,35958,376,P
31575,36000,384,B
31611,36041,379,B
31654,36083,380,B
31693,36125,378,P
31733,36166,376,B
31776,36208,377,P
31822,36250,382,I
31858,36291,376,B
31903,36333,379,B
31948,36375,383,B
31990,36416,383,P
32030,36458,381,B
32070,36500,379,B
32111,36541,378,B
