at_sec latencyMs frameType
0.000 169 P
1.004 298 P
2.019 313 B
3.023 317 B
4.032 326 B
5.032 325 B
6.000 336 P
7.036 329 P
8.037 331 P
9.035 328 B
10.039 333 B
11.032 326 P
12.031 324 B
13.032 326 B
14.031 325 B
15.031 325 B
16.040 375 B
17.039 375 P
18.039 375 B
19.039 375 I
20.037 373 B
21.001 377 P
22.042 378 P
23.006 383 B
24.001 378 P
25.000 377 P
26.008 385 B
27.047 383 P
28.006 383 B
29.002 379 P
30.006 383 P
31.023 442 B
32.047 466 B
33.023 567 B
34.023 567 B
35.023 567 P
36.023 567 B
37.015 726 B
38.016 767 B
39.015 934 B
40.013 974 B
41.023 1150 P
42.024 1235 B
43.003 1297 P
44.032 1451 P
45.024 1568 B
46.143 2103 B
47.076 2370 B
48.015 2767 P
49.499 3460 P
50.008 3469 P
51.031 4033 P
52.024 4526 B
53.000 4877 B
54.015 5184 B
55.021 5565 P
56.070 6031 P
57.007 6343 P
58.012 6972 P
59.195 7489 P
60.031 7617 I
61.953 8997 B
62.000 9002 P
63.964 10466 B
64.007 10468 P
65.047 11049 B
66.294 12130 B
67.021 12482 B
68.454 13623 B
69.289 14083 B
70.326 14953 B
71.039 15375 P
72.749 16668 P
73.142 16853 B
74.695 17989 B
75.090 18259 B
76.304 18974 P
77.227 19271 B
78.260 19679 B
79.194 19988 P
80.013 20182 B
81.121 20665 B
82.045 20922 P
83.008 21219 I
84.058 21602 P
85.146 22233 P
86.281 22783 P
87.545 23340 B
88.006 23342 B
89.024 23901 B
90.038 24458 B
91.026 24653 B
92.007 24843 B
93.022 25066 P
94.007 25218 B
95.007 25384 P
96.040 25542 P
97.021 25607 B
98.007 25718 P
99.023 25860 B
100.023 25859 P
101.023 26068 P
102.011 26139 P
103.006 26300 B
104.000 26419 B
105.045 26465 P
106.007 26468 B
107.008 26469 I
108.007 26468 B
109.007 26469 B
110.006 26467 P
111.008 26469 B
112.007 26468 I
113.008 26469 B
114.004 26465 P
115.007 26469 B
116.008 26469 B
117.004 26466 I
118.008 26469 P
119.005 26466 P
120.007 26468 B
121.006 26468 P
122.003 26464 I
123.007 26469 B
124.004 26465 B
125.007 26468 B
126.004 26465 P
127.006 26467 I
128.007 26468 B
129.006 26467 B
130.006 26468 P
131.005 26466 B
132.007 26468 I
133.007 26468 B
134.007 26469 B
135.005 26466 P
