at,ptsMs,payloadSizeBytes,frameType
12129,12583,665,B
12173,12541,439,B
12210,12625,401,B
12299,12833,5529,P
12308,12750,686,B
12340,12708,512,B
12377,12791,377,B
12460,13000,5018,P
12473,12916,1228,B
12505,12875,697,B
12549,12958,501,B
12610,13083,3484,P
12634,13041,684,B
12863,13125,23106,I
12889,13291,2911,P
12898,13208,757,B
12905,13166,516,B
12911,13250,367,B
12955,13458,5001,P
12965,13375,1084,B
12973,13333,655,B
13006,13416,475,B
13075,13625,4327,P
13096,13541,1300,B
13134,13500,727,B
13170,13583,593,B
13234,13708,3185,P
13258,13666,662,B
13480,13750,22355,I
13506,13916,2895,P
13515,13833,699,B
13523,13791,530,B
13528,13875,352,B
13575,14083,5345,P
13587,14000,897,B
13595,13958,591,B
13631,14041,451,B
13700,14250,4141,P
13720,14166,1135,B
13757,14125,595,B
13795,14208,583,B
13855,14333,2426,P
13884,14291,650,B
14118,14375,23623,I
14136,14541,2038,P
14146,14458,904,B
14153,14416,521,B
14161,14500,511,B
14196,14708,3973,P
14206,14625,958,B
14215,14583,597,B
14256,14666,504,B
14332,14875,4760,P
14346,14791,1235,B
14382,14750,648,B
14423,14833,528,B
14485,14958,3098,P
14507,14916,607,B
14735,15000,22681,I
14763,15166,3185,P
14772,15083,812,B
14779,15041,498,B
14786,15125,423,B
14827,15333,4539,P
14839,15250,1027,B
14847,15208,612,B
14877,15291,444,B
14950,15500,3669,P
14970,15416,1329,B
15006,15375,647,B
15046,15458,583,B
15110,15583,3209,P
15130,15541,686,B
15363,15625,23661,I
15398,15791,3800,P
15403,15708,178,B
15406,15666,157,B
15411,15750,159,B
15427,15916,1715,P
15431,15833,242,B
15461,15875,152,B
15518,15958,2337,P
15567,16000,3092,P
15627,16166,4826,P
15635,16083,651,B
15674,16041,483,B
15716,16125,433,B
15773,16208,2339,P
15944,16250,17708,I
15973,16416,3296,P
15982,16333,748,B
15987,16291,398,B
15995,16375,547,B
16020,16458,1987,P
16057,16500,1410,P
16092,16541,1219,P
16141,16625,2136,P
16167,16583,399,B
16223,16708,1244,P
16252,16666,330,B
16300,16833,760,P
16334,16750,375,B
16380,16791,395,B
16618,16875,23697,I
16635,17000,1875,P
16643,16916,611,B
16650,16958,465,B
16675,17166,2637,P
16684,17083,791,B
16689,17041,505,B
16713,17125,412,B
16778,17333,2984,P
16801,17250,807,B
16838,17208,447,B
16878,17291,463,B
16951,17375,3913,P
16985,17458,2815,P
17005,17416,809,B
17247,17500,24324,I
17279,17583,3500,P
17290,17541,1127,B
17312,17625,2265,P
17330,17666,1836,P
17347,17708,1645,P
17365,17750,2020,P
17386,17791,2184,P
17407,17833,2130,P
17433,17875,2078,P
17476,17916,2033,P
17515,17958,2108,P
17584,18083,4795,P
17600,18000,1659,B
17643,18041,2056,B
17867,18125,24124,I
17896,18166,3149,P
17913,18208,1775,P
17948,18375,3968,P
17958,18291,840,B
17965,18250,559,B
17973,18333,474,B
17990,18416,1772,P
18017,18458,1804,P
18064,18541,2649,P
18088,18500,706,B
18149,18625,2719,P
18176,18583,698,B
18231,18666,2447,P
18262,18708,1448,P
18488,18750,23669,I
18519,18916,3335,P
18528,18833,860,B
18535,18791,513,B
18542,18875,483,B
18586,19083,4984,P
18597,19000,1006,B
18605,18958,575,B
18629,19041,623,B
18689,19250,2916,P
18717,19166,720,B
18756,19125,419,B
18798,19208,392,B
18846,19333,1198,P
18881,19291,491,B
19115,19375,23307,I
19143,19541,3098,P
19151,19458,727,B
19159,19416,499,B
19165,19500,416,B
19187,19625,2474,P
19193,19583,471,B
19221,19666,1800,P
19268,19708,1779,P
19309,19750,1645,P
19351,19791,1646,P
19426,19916,5629,P
19436,19833,1041,B
19472,19875,1951,B
19539,19958,4767,P
19744,20000,23950,I
19769,20041,2515,P
19788,20125,2099,P
19799,20083,942,B
19816,20208,1742,P
19827,20166,908,B
19844,20291,1809,P
19854,20250,962,B
19896,20375,2132,P
19931,20333,1383,B
19984,20416,2884,P
20034,20458,3707,P
20088,20500,5222,P
20121,20583,3789,P
20140,20541,1589,B
20366,20625,23515,I
20397,20791,3539,P
20418,20708,2024,B
20428,20666,1023,B
20443,20750,1374,B
20467,20833,2685,P
20500,20875,3615,P
20528,20958,3046,P
20538,20916,845,B
20564,21083,2270,P
20586,21000,472,B
20631,21041,363,B
20674,21125,1104,P
20714,21166,973,P
20755,21208,322,P
20992,21250,24108,I
21020,21291,3056,P
21049,21333,3003,P
21078,21416,3263,P
21086,21375,559,B
21116,21583,3525,P
21126,21500,800,B
21133,21458,540,B
21140,21541,415,B
21191,21750,3099,P
21215,21666,715,B
21257,21625,476,B
21298,21708,405,B
21349,21833,1710,P
21381,21791,468,B
21617,21875,24154,I
21646,21958,3128,P
21651,21916,408,B
21677,22000,2888,P
21720,22166,4737,P
21732,22083,1012,B
21740,22041,685,B
21744,22125,386,B
21774,22250,2775,P
21800,22208,586,B
21858,22291,2605,P
21904,22458,3163,P
21926,22375,831,B
21965,22333,480,B
22005,22416,386,B
22243,22500,24167,I
22263,22541,2230,P
22281,22583,1741,P
22296,22625,1450,P
22307,22666,1199,P
22324,22708,1596,P
