at,ptsMs,latencyMs,frameType
12129,12416,169,B
12173,12458,171,P
12217,12500,173,I
12257,12541,171,B
12296,12583,168,B
12341,12625,172,B
12384,12666,174,P
12428,12708,175,B
12472,12750,178,B
12512,12791,177,B
12550,12833,172,P
12591,12875,172,B
12634,12916,173,B
12680,12958,178,B
12718,13000,175,P
12899,13041,314,B
12942,13083,314,P
12985,13125,316,I
13033,13166,323,B
13069,13208,316,B
13113,13250,319,B
13153,13291,317,P
13193,13333,315,B
13235,13375,316,B
13281,13416,321,B
13321,13458,318,P
13360,13500,317,B
13400,13541,315,B
13448,13583,321,B
13484,13625,315,P
13524,13666,314,B
13569,13708,316,P
13609,13750,315,I
13657,13791,321,B
13693,13833,316,B
13736,13875,318,B
13777,13916,316,P
13816,13958,314,B
13865,14000,321,B
13904,14041,319,B
13944,14083,317,P
13984,14125,316,B
14028,14166,317,B
14067,14208,315,B
14113,14250,319,P
14148,14291,312,B
14192,14333,314,P
14233,14375,314,I
14280,14416,319,B
14321,14458,318,B
14360,14500,317,B
14401,14541,315,P
14449,14583,321,B
14486,14625,317,B
14529,14666,318,B
14565,14708,313,P
14608,14750,315,B
14653,14791,317,B
14693,14833,316,B
14732,14875,313,P
14774,14916,313,B
14817,14958,314,P
14864,15000,321,I
14905,15041,319,B
14945,15083,317,B
14984,15125,316,B
15025,15166,314,P
15073,15208,320,B
15110,15250,317,B
15153,15291,317,B
15192,15333,315,P
15235,15375,317,B
15274,15416,313,B
15321,15458,318,B
15360,15500,317,P
15404,15541,318,B
15449,15583,321,P
15497,15625,329,I
15536,15666,326,B
15577,15708,324,B
15616,15750,322,B
15656,15791,321,P
15705,15833,327,B
15744,15875,326,B
15785,15916,324,P
15825,15958,322,P
15864,16000,320,P
15912,16041,327,B
15948,16083,320,B
15988,16125,319,B
16033,16166,322,P
16073,16208,320,P
16121,16250,328,I
16161,16291,325,B
16200,16333,323,B
16240,16375,322,B
16281,16416,320,P
16329,16458,326,P
16368,16500,325,P
16408,16541,323,P
16448,16583,321,B
16488,16625,320,P
16537,16666,326,B
16576,16708,324,P
16616,16750,322,B
16644,16791,309,B
16689,16833,311,P
16737,16875,318,I
16772,16916,312,B
16817,16958,314,B
16856,17000,313,P
16896,17041,310,B
16938,17083,310,B
16980,17125,311,B
17025,17166,314,P
17064,17208,311,B
17103,17250,309,B
17152,17291,317,B
17192,17333,314,P
17230,17375,312,P
17292,17416,331,B
17336,17458,333,P
17376,17500,333,I
17425,17541,339,B
17465,17583,337,P
17505,17625,336,P
17544,17666,334,P
17583,17708,331,P
17633,17750,339,P
17666,17791,331,P
17713,17833,335,P
17752,17875,334,P
17793,17916,333,P
17841,17958,338,P
17879,18000,336,B
17920,18041,335,B
17959,18083,331,P
18009,18125,340,I
18048,18166,338,P
18089,18208,336,P
18129,18250,335,B
18169,18291,333,B
18217,18333,339,B
18256,18375,338,P
18297,18416,336,P
18337,18458,334,P
18376,18500,333,B
18418,18541,333,P
18464,18583,337,B
18501,18625,332,P
18542,18666,331,P
18586,18708,334,P
18629,18750,336,I
18672,18791,337,B
18713,18833,335,B
18753,18875,334,B
18793,18916,332,P
18841,18958,338,B
18881,19000,337,B
18920,19041,334,B
18958,19083,331,P
19007,19125,339,B
19048,19166,337,B
19087,19208,334,B
19126,19250,333,P
19167,19291,332,B
19216,19333,338,P
19257,19375,338,I
19296,19416,336,B
19337,19458,334,B
19377,19500,333,B
19418,19541,333,P
19464,19583,337,B
19505,19625,336,P
19541,19666,330,P
19584,19708,332,P
19633,19750,339,P
19671,19791,336,P
19710,19833,333,B
19752,19875,333,B
19799,19916,339,P
19837,19958,335,P
19881,20000,337,I
19920,20041,335,P
19960,20083,333,B
20008,20125,339,P
20049,20166,338,B
20084,20208,332,P
20128,20250,334,B
20169,20291,333,P
20217,20333,339,B
20256,20375,338,P
20296,20416,336,P
20335,20458,333,P
20376,20500,332,P
20418,20541,333,B
20464,20583,337,P
20500,20625,332,I
20544,20666,333,B
20584,20708,332,B
20631,20750,338,B
20672,20791,337,P
20712,20833,335,P
20752,20875,334,P
20791,20916,331,B
20840,20958,338,P
20880,21000,337,B
20919,21041,333,B
20960,21083,332,P
21005,21125,336,P
21043,21166,333,P
21086,21208,334,P
21126,21250,332,I
21169,21291,333,P
21215,21333,338,P
21257,21375,338,B
21296,21416,336,P
21337,21458,334,B
21377,21500,333,B
21424,21541,339,B
21464,21583,336,P
21503,21625,335,B
21543,21666,332,B
21583,21708,331,B
21629,21750,335,P
21673,21791,337,B
21710,21833,333,P
21750,21875,332,I
21800,21916,339,B
21841,21958,338,P
21880,22000,336,P
21921,22041,335,B
21961,22083,334,B
22006,22125,337,B
22049,22166,338,P
22089,22208,337,B
22127,22250,334,P
22168,22291,332,P
22217,22333,339,B
22254,22375,336,B
22293,22416,332,B
22336,22458,333,P
22376,22500,333,I
22424,22541,339,P
22461,22583,334,P
22504,22625,336,P
22542,22666,332,P
22584,22708,332,P
22633,22750,340,B
22667,22791,331,B
22711,22833,334,P
22752,22875,334,B
22791,22916,330,B
22840,22958,337,B
22880,23000,337,P
22920,23041,335,B
22960,23083,332,P
23003,23125,334,I
23049,23166,339,B
23088,23208,336,B
23129,23250,335,B
23169,23291,334,P
23217,23333,339,B
23250,23375,332,B
23294,23416,333,B
23333,23458,331,P
23376,23500,332,B
23422,23541,337,B
23460,23583,333,B
23505,23625,336,P
23545,23666,334,B
23584,23708,332,P
23632,23750,339,I
23672,23791,337,B
23710,23833,332,B
23751,23875,333,B
23792,23916,332,P
23841,23958,338,B
23875,24000,332,B
23919,24041,334,B
23958,24083,330,P
24000,24125,331,B
24047,24166,337,B
24086,24208,333,B
24125,24250,332,P
24168,24291,332,B
24216,24333,339,P
24256,24375,337,I
24296,24416,336,B
24334,24458,332,B
24376,24500,333,B
24424,24541,339,P
24465,24583,337,B
24499,24625,330,B
24544,24666,333,B
24583,24708,331,P
24633,24750,339,B
24671,24791,336,B
24711,24833,334,B
24752,24875,333,P
24792,24916,331,B
24841,24958,338,P
24881,25000,338,I
24919,25041,334,B
24958,25083,331,B
25009,25125,340,B
25049,25166,338,P
25089,25208,336,B
25129,25250,335,B
25168,25291,332,B
25208,25333,331,P
