at_sec latencyMs frameType
0.000 169 B
1.024 317 P
2.019 312 B
3.024 317 B
4.032 325 B
5.023 317 B
6.000 335 B
7.038 332 B
8.040 333 P
9.040 333 P
10.039 332 P
11.000 335 B
12.039 332 B
13.000 335 B
14.039 333 B
15.038 332 B
16.031 367 B
17.023 358 P
18.039 375 B
19.039 374 I
20.038 374 B
21.000 376 B
22.038 374 P
23.037 373 B
24.039 374 I
25.039 375 B
26.000 376 B
27.039 375 P
28.000 377 B
29.040 376 I
30.000 377 P
31.038 457 B
32.024 484 B
33.016 559 B
34.015 559 B
35.031 575 P
36.219 1138 B
37.314 1858 B
38.550 1844 B
39.084 711 P
40.007 551 P
41.015 601 P
42.245 831 P
43.016 560 B
44.036 622 B
45.040 500 P
46.162 1206 P
47.449 1243 P
48.168 1295 B
49.251 1212 I
50.494 1580 P
51.167 1211 P
52.031 825 B
53.015 1684 P
54.310 1146 B
55.004 715 I
56.066 1152 I
57.432 1143 P
58.666 1585 B
59.078 998 B
60.104 690 B
63.461 3880 B
63.508 3885 P
63.508 1094 I
75.588 13132 P
75.631 13133 P
75.631 717 I
76.236 1280 P
76.279 1281 P
76.328 1289 P
76.802 1262 I
76.847 1265 P
76.847 682 I
76.896 689 B
76.936 687 B
76.976 686 P
77.015 684 B
77.759 1385 P
78.013 431 P
79.353 1146 P
80.008 634 P
81.728 1687 B
82.037 746 P
83.039 1581 P
84.280 1489 P
85.518 1727 B
86.138 1222 I
87.423 1173 B
88.032 448 B
89.281 1155 B
90.000 1208 P
91.021 812 B
92.015 764 B
93.024 522 P
94.093 801 P
95.032 573 P
96.056 889 B
97.209 832 B
98.018 558 P
99.235 817 B
100.027 650 P
101.040 747 B
102.016 515 B
103.538 1203 P
104.155 737 B
105.039 497 P
106.015 638 P
107.015 472 B
108.031 488 B
109.017 432 B
110.008 506 B
111.007 505 P
112.032 405 P
113.015 388 P
114.047 462 P
115.000 457 B
116.039 454 B
117.118 491 P
118.016 473 P
119.015 513 B
120.031 404 P
121.023 438 B
122.030 487 P
123.031 404 B
124.061 518 P
125.030 445 B
126.000 498 P
127.000 498 P
128.039 496 B
129.070 527 P
130.007 380 P
131.007 422 B
132.013 428 P
133.023 396 P
134.031 488 P
135.021 394 P
