at_sec latencyMs
0.088 173
0.856 316
1.480 315
2.104 314
2.735 321
3.368 329
3.992 328
4.608 318
5.247 333
5.880 340
6.500 336
7.128 338
7.752 337
8.371 332
8.997 332
9.621 332
10.247 333
10.874 334
11.503 339
12.127 337
12.752 338
13.375 336
13.999 335
14.623 334
15.272 358
15.904 365
16.527 363
17.163 373
17.790 376
18.415 376
19.039 374
19.663 373
20.288 374
20.912 373
21.543 378
22.168 379
22.792 377
23.415 376
24.039 374
24.663 374
25.296 381
25.920 380
26.544 379
27.168 379
27.791 377
28.414 375
29.040 376
29.663 374
30.334 420
30.996 457
31.641 477
32.335 546
32.973 559
33.600 560
34.227 562
34.863 574
35.488 574
37.361 1197
38.600 561
39.187 523
39.832 543
40.399 485
41.015 476
41.748 584
42.296 507
42.967 553
43.552 513
44.080 416
44.783 494
45.583 669
46.295 756
46.903 739
47.536 747
48.215 801
49.251 1212
49.344 680
50.543 1254
50.544 630
51.300 761
51.984 820
53.015 1226
53.043 629
53.748 709
54.357 693
55.004 715
56.066 1152
56.187 648
56.885 721
57.479 690
58.712 673
59.853 1189
59.879 591
63.508 1094
75.631 717
76.802 1262
76.847 682
77.808 393
78.752 712
79.400 735
79.920 630
80.688 773
81.776 1235
81.829 663
83.040 1249
83.040 624
84.328 1287
84.407 741
85.566 1275
86.138 1222
86.229 687
86.963 797
87.448 657
87.864 448
88.768 726
89.328 661
90.000 708
90.501 584
91.068 526
91.936 769
92.272 480
92.936 519
93.575 533
94.144 477
94.864 571
95.520 603
96.104 562
96.757 590
97.258 466
97.976 558
98.615 572
99.280 612
99.940 647
100.248 330
101.087 545
101.677 509
102.400 607
103.584 541
104.200 532
104.784 492
105.557 639
106.020 477
106.640 473
107.279 487
107.908 490
108.408 365
109.103 435
109.800 507
110.422 504
111.053 510
111.567 399
112.200 407
112.816 398
113.491 448
114.135 467
114.751 458
115.373 455
115.999 457
116.498 330
117.165 372
117.887 469
118.559 516
119.183 515
119.696 403
120.359 441
120.983 440
121.656 488
122.184 391
122.815 397
123.511 468
124.103 435
124.735 442
125.412 494
126.039 496
126.663 495
127.291 498
127.913 495
128.460 417
129.081 413
129.643 350
130.407 489
130.964 422
131.599 431
132.262 469
132.807 389
133.536 493
134.081 413
134.686 393
