at_sec latencyMs frameType
0.000 169 B
0.044 171 P
0.088 173 I
0.128 171 B
0.167 168 B
0.212 172 B
0.255 174 P
0.299 175 B
0.343 178 B
0.383 177 B
0.421 172 P
0.462 172 B
0.505 173 B
0.551 178 B
0.589 175 P
0.770 314 B
0.813 314 P
0.856 316 I
0.904 323 B
0.940 316 B
0.984 319 B
1.024 317 P
1.064 315 B
1.106 316 B
1.152 321 B
1.192 318 P
1.231 317 B
1.271 315 B
1.319 321 B
1.355 315 P
1.395 314 B
1.440 316 P
1.480 315 I
1.528 321 B
1.564 316 B
1.607 318 B
1.648 316 P
1.687 314 B
1.736 321 B
1.775 319 B
1.815 317 P
1.855 316 B
1.899 317 B
1.938 315 B
1.984 319 P
2.019 312 B
2.063 314 P
2.104 314 I
2.151 319 B
2.192 318 B
2.231 317 B
2.272 315 P
2.320 321 B
2.357 317 B
2.400 318 B
2.436 313 P
2.479 315 B
2.524 317 B
2.564 316 B
2.603 313 P
2.645 313 B
2.688 314 P
2.735 321 I
2.776 319 B
2.816 317 B
2.855 316 B
2.896 314 P
2.944 320 B
2.981 317 B
3.024 317 B
3.063 315 P
3.106 317 B
3.145 313 B
3.192 318 B
3.231 317 P
3.275 318 B
3.320 321 P
3.368 329 I
3.407 326 B
3.448 324 B
3.487 322 B
3.527 321 P
3.576 327 B
3.615 326 B
3.656 324 P
3.696 322 P
3.735 320 P
3.783 327 B
3.819 320 B
3.859 319 B
3.904 322 P
3.944 320 P
3.992 328 I
4.032 325 B
4.071 323 B
4.111 322 B
4.152 320 P
4.200 326 P
4.239 325 P
4.279 323 P
4.319 321 B
4.359 320 P
4.408 326 B
4.447 324 P
4.487 322 B
4.515 309 B
4.560 311 P
4.608 318 I
4.643 312 B
4.688 314 B
4.727 313 P
4.767 310 B
4.809 310 B
4.851 311 B
4.896 314 P
4.935 311 B
4.974 309 B
5.023 317 B
5.063 314 P
5.101 312 P
5.163 331 B
5.207 333 P
5.247 333 I
5.296 339 B
5.336 337 P
5.376 336 P
5.415 334 P
5.454 331 P
5.504 339 P
5.537 331 P
5.584 335 P
5.623 334 P
5.664 333 P
5.712 338 P
5.750 336 B
5.791 335 B
5.830 331 P
5.880 340 I
5.919 338 P
5.960 336 P
6.000 335 B
6.040 333 B
6.088 339 B
6.127 338 P
6.168 336 P
6.208 334 P
6.247 333 B
6.289 333 P
6.335 337 B
6.372 332 P
6.413 331 P
6.457 334 P
6.500 336 I
6.543 337 B
6.584 335 B
6.624 334 B
6.664 332 P
6.712 338 B
6.752 337 B
6.791 334 B
6.829 331 P
6.878 339 B
6.919 337 B
6.958 334 B
6.997 333 P
7.038 332 B
7.087 338 P
7.128 338 I
7.167 336 B
7.208 334 B
7.248 333 B
7.289 333 P
7.335 337 B
7.376 336 P
7.412 330 P
7.455 332 P
7.504 339 P
7.542 336 P
7.581 333 B
7.623 333 B
7.670 339 P
7.708 335 P
7.752 337 I
7.791 335 P
7.831 333 B
7.879 339 P
7.920 338 B
7.955 332 P
7.999 334 B
8.040 333 P
8.088 339 B
8.127 338 P
8.167 336 P
8.206 333 P
8.247 332 P
8.289 333 B
8.335 337 P
8.371 332 I
8.415 333 B
8.455 332 B
8.502 338 B
8.543 337 P
8.583 335 P
8.623 334 P
8.662 331 B
8.711 338 P
8.751 337 B
8.790 333 B
8.831 332 P
8.876 336 P
8.914 333 P
8.957 334 P
8.997 332 I
9.040 333 P
9.086 338 P
9.128 338 B
9.167 336 P
9.208 334 B
9.248 333 B
9.295 339 B
9.335 336 P
9.374 335 B
9.414 332 B
9.454 331 B
9.500 335 P
9.544 337 B
9.581 333 P
9.621 332 I
9.671 339 B
9.712 338 P
9.751 336 P
9.792 335 B
9.832 334 B
9.877 337 B
9.920 338 P
9.960 337 B
9.998 334 P
10.039 332 P
10.088 339 B
10.125 336 B
10.164 332 B
10.207 333 P
10.247 333 I
10.295 339 P
10.332 334 P
10.375 336 P
10.413 332 P
10.455 332 P
10.504 340 B
10.538 331 B
10.582 334 P
10.623 334 B
10.662 330 B
10.711 337 B
10.751 337 P
10.791 335 B
10.831 332 P
10.874 334 I
10.920 339 B
10.959 336 B
11.000 335 B
11.040 334 P
11.088 339 B
11.121 332 B
11.165 333 B
11.204 331 P
11.247 332 B
11.293 337 B
11.331 333 B
11.376 336 P
11.416 334 B
11.455 332 P
11.503 339 I
11.543 337 B
11.581 332 B
11.622 333 B
11.663 332 P
11.712 338 B
11.746 332 B
11.790 334 B
11.829 330 P
11.871 331 B
11.918 337 B
11.957 333 B
11.996 332 P
12.039 332 B
12.087 339 P
12.127 337 I
12.167 336 B
12.205 332 B
12.247 333 B
12.295 339 P
12.336 337 B
12.370 330 B
12.415 333 B
12.454 331 P
12.504 339 B
12.542 336 B
12.582 334 B
12.623 333 P
12.663 331 B
12.712 338 P
12.752 338 I
12.790 334 B
12.829 331 B
12.880 340 B
12.920 338 P
12.960 336 B
13.000 335 B
13.039 332 B
13.079 331 P
13.126 337 B
13.168 337 B
13.207 333 B
13.247 332 P
13.290 334 B
13.335 337 P
13.375 336 I
13.414 333 B
13.454 330 B
13.504 339 B
13.543 337 P
13.584 335 B
13.624 334 B
13.663 332 B
13.703 330 P
13.752 337 B
13.791 335 B
13.832 334 B
13.875 336 P
13.918 337 B
13.960 336 P
13.999 335 I
14.039 333 B
14.079 331 B
14.127 338 B
14.167 336 P
14.207 334 B
14.247 333 B
14.291 334 B
14.330 332 P
14.375 336 B
14.415 334 B
14.458 335 B
14.502 338 P
14.543 337 B
14.580 331 P
14.623 334 I
14.663 332 B
14.704 331 B
14.751 337 B
14.791 335 P
14.832 333 B
14.872 332 B
14.915 334 B
14.954 330 P
14.998 334 B
15.038 332 B
15.084 336 B
15.121 332 P
15.185 354 B
15.230 357 P
15.272 358 I
15.310 354 B
15.360 362 B
15.400 360 B
15.440 359 P
15.480 356 B
15.519 355 B
15.564 357 B
