at_sec ptsMs
0 12.583
0.044 12.541
0.081 12.625
0.17 12.833
0.179 12.75
0.211 12.708
0.248 12.791
0.331 13.0
0.344 12.916
0.376 12.875
0.42 12.958
0.481 13.083
0.505 13.041
0.734 13.125
0.76 13.291
0.769 13.208
0.776 13.166
0.782 13.25
0.826 13.458
0.836 13.375
0.844 13.333
0.877 13.416
0.946 13.625
0.967 13.541
1.005 13.5
1.041 13.583
1.105 13.708
1.129 13.666
1.351 13.75
1.377 13.916
1.386 13.833
1.394 13.791
1.399 13.875
1.446 14.083
1.458 14.0
1.466 13.958
1.502 14.041
1.571 14.25
1.591 14.166
1.628 14.125
1.666 14.208
1.726 14.333
1.755 14.291
1.989 14.375
2.007 14.541
2.017 14.458
2.024 14.416
2.032 14.5
2.067 14.708
2.077 14.625
2.086 14.583
2.127 14.666
2.203 14.875
2.217 14.791
2.253 14.75
2.294 14.833
2.356 14.958
2.378 14.916
2.606 15.0
2.634 15.166
2.643 15.083
2.65 15.041
2.657 15.125
2.698 15.333
2.71 15.25
2.718 15.208
2.748 15.291
2.821 15.5
2.841 15.416
2.877 15.375
2.917 15.458
2.981 15.583
3.001 15.541
3.234 15.625
3.269 15.791
3.274 15.708
3.277 15.666
3.282 15.75
3.298 15.916
3.302 15.833
3.332 15.875
3.389 15.958
3.438 16.0
3.498 16.166
3.506 16.083
3.545 16.041
3.587 16.125
3.644 16.208
3.815 16.25
3.844 16.416
3.853 16.333
3.858 16.291
3.866 16.375
3.891 16.458
3.928 16.5
3.963 16.541
4.012 16.625
4.038 16.583
4.094 16.708
4.123 16.666
4.171 16.833
4.205 16.75
4.251 16.791
4.489 16.875
4.506 17.0
4.514 16.916
4.521 16.958
4.546 17.166
4.555 17.083
4.56 17.041
4.584 17.125
4.649 17.333
4.672 17.25
4.709 17.208
4.749 17.291
4.822 17.375
4.856 17.458
4.876 17.416
5.118 17.5
5.15 17.583
5.161 17.541
5.183 17.625
5.201 17.666
5.218 17.708
5.236 17.75
5.257 17.791
5.278 17.833
5.304 17.875
5.347 17.916
5.386 17.958
5.455 18.083
5.471 18.0
5.514 18.041
5.738 18.125
5.767 18.166
5.784 18.208
5.819 18.375
5.829 18.291
5.836 18.25
5.844 18.333
5.861 18.416
5.888 18.458
5.935 18.541
5.959 18.5
6.02 18.625
6.047 18.583
6.102 18.666
6.133 18.708
6.359 18.75
6.39 18.916
6.399 18.833
6.406 18.791
6.413 18.875
6.457 19.083
6.468 19.0
6.476 18.958
6.5 19.041
6.56 19.25
6.588 19.166
6.627 19.125
6.669 19.208
6.717 19.333
6.752 19.291
6.986 19.375
7.014 19.541
7.022 19.458
7.03 19.416
7.036 19.5
7.058 19.625
7.064 19.583
7.092 19.666
7.139 19.708
7.18 19.75
7.222 19.791
7.297 19.916
7.307 19.833
7.343 19.875
7.41 19.958
7.615 20.0
7.64 20.041
7.659 20.125
7.67 20.083
7.687 20.208
7.698 20.166
7.715 20.291
7.725 20.25
7.767 20.375
7.802 20.333
7.855 20.416
7.905 20.458
7.959 20.5
7.992 20.583
8.011 20.541
8.237 20.625
8.268 20.791
8.289 20.708
8.299 20.666
8.314 20.75
8.338 20.833
8.371 20.875
8.399 20.958
8.409 20.916
8.435 21.083
8.457 21.0
8.502 21.041
8.545 21.125
8.585 21.166
8.626 21.208
8.863 21.25
8.891 21.291
8.92 21.333
8.949 21.416
8.957 21.375
8.987 21.583
8.997 21.5
9.004 21.458
9.011 21.541
9.062 21.75
9.086 21.666
9.128 21.625
9.169 21.708
9.22 21.833
9.252 21.791
9.488 21.875
9.517 21.958
9.522 21.916
9.548 22.0
9.591 22.166
9.603 22.083
9.611 22.041
9.615 22.125
9.645 22.25
9.671 22.208
9.729 22.291
9.775 22.458
9.797 22.375
9.836 22.333
9.876 22.416
10.114 22.5
10.134 22.541
10.152 22.583
10.167 22.625
10.178 22.666
10.195 22.708
10.207 22.833
10.215 22.75
10.251 22.791
10.313 23.0
10.332 22.916
10.377 22.875
10.413 22.958
10.533 23.083
10.537 23.041
10.643 23.125
10.66 23.291
10.667 23.208
10.674 23.166
10.71 23.25
10.779 23.458
10.796 23.375
10.837 23.333
10.873 23.416
10.949 23.625
10.965 23.541
11.003 23.5
11.046 23.583
11.123 23.708
11.131 23.666
11.342 23.75
11.368 23.916
11.377 23.833
11.385 23.791
11.393 23.875
11.436 24.083
11.446 24.0
11.464 23.958
11.504 24.041
11.58 24.25
11.593 24.166
11.63 24.125
11.671 24.208
11.747 24.333
11.755 24.291
11.975 24.375
12.0 24.541
12.007 24.458
12.016 24.416
12.025 24.5
12.065 24.708
12.077 24.625
12.088 24.583
12.129 24.666
12.203 24.875
12.217 24.791
12.256 24.75
12.297 24.833
12.368 24.958
12.38 24.916
12.607 25.0
12.635 25.166
12.645 25.083
12.654 25.041
12.662 25.125
12.7 25.333
12.712 25.25
12.721 25.208
